tool,"benchmark","budget",runs,tgen,avgcovi,avgcovb,avgcovm
"utbot","GUAVA-11",120,6,12.0741666666667,0.31914892,0.5,0.5609756
"utbot","GUAVA-11",300,6,12.5178333333333,0.31914892,0.5,0.5609756
"utbot","GUAVA-128",30,10,5.7901,0,0,0
"utbot","GUAVA-128",120,6,8.04716666666667,0,0,0
"utbot","GUAVA-128",300,6,100.624166666667,0,0,0
"utbot","GUAVA-134",30,10,30.2743,0.18965517,0.1200000005,0.223376619
"utbot","GUAVA-134",120,6,120.253666666667,0.22988506,0.25,0.29870129
"utbot","GUAVA-134",300,6,267.614333333333,0.22988506,0.25,0.29870129
"utbot","GUAVA-181",30,10,18.5798,0.81034485,1,0.9607843
"utbot","GUAVA-181",120,6,18.3683333333333,0.81034485,1,0.9607843
"utbot","GUAVA-181",300,6,18.5665,0.81034485,1,0.9607843
"utbot","GUAVA-192",30,10,30.1751,0.05882353,0.025974026,0.071428576
"utbot","GUAVA-192",120,6,120.103,0.06985294,0.025974026,0.08163265
"utbot","GUAVA-192",300,6,168.247666666667,0.06985294,0.025974026,0.08163265
"utbot","GUAVA-200",30,10,30.4033,0.0518248166,0.022222224,0.0626865681
"utbot","GUAVA-200",120,6,120.307333333333,0.062043793,0.03240741,0.0796019883333333
"utbot","GUAVA-200",300,6,300.5625,0.130170306666667,0.05092593,0.136815919166667
"utbot","GUAVA-237",30,10,30.2457,0.239024393,0.210000002,0.29625
"utbot","GUAVA-237",120,6,120.249666666667,0.34146343,0.30000002,0.375
"utbot","GUAVA-237",300,6,160.344333333333,0.34146343,0.30000002,0.375
"utbot","GUAVA-254",30,10,14.4724,0.6511628,0.5,0.56060608
"utbot","GUAVA-254",120,6,14.2405,0.6511628,0.5,0.56060608
"utbot","GUAVA-254",300,6,14.3971666666667,0.6511628,0.5,0.56060608
"utbot","GUAVA-273",30,10,30.2287,0.0859375,0.037037036,0.09523809
"utbot","GUAVA-273",120,6,120.158166666667,0.13671875,0.080246912,0.148148153333333
"utbot","GUAVA-273",300,6,143.327333333333,0.130208333333333,0.0771604925,0.145502651666667
"utbot","GUAVA-46",30,10,30.0916,0.247169812,0.258490572,0.38333336
"utbot","GUAVA-46",120,6,66.4778333333333,0.30188679,0.30188679,0.42708336
"utbot","GUAVA-46",300,6,74.334,0.30188679,0.30188679,0.42708336
"utbot","GUAVA-71",30,10,2.9312,0.7857143,0.6666667,0.90909096
"utbot","GUAVA-71",120,6,2.936,0.7857143,0.6666667,0.90909096
"utbot","GUAVA-71",300,6,2.91366666666667,0.7857143,0.6666667,0.90909096
