benchmark,tool,runs,"budget",tgen,avgcovi,avgcovb,avgcovm
"OKIO-2","randoop",6,60,62,0.805,0.803,0.799
"OKIO-3","randoop",6,60,62.6,0,0,0
"OKIO-4","randoop",6,60,61.4,0.014,0.006,0.009
"OKIO-5","randoop",6,60,61.3,0.028,0.015,0.013
"OKIO-6","randoop",6,60,61.6,0.342,0.321,0.366
"OKIO-7","randoop",6,60,62,0.757,0.763,0.63
"OKIO-8","randoop",6,60,62.4,0.686,0.598,0.281
"OKIO-9","randoop",6,60,61.4,0.533,0.384,0.358
"REDISSON-10","randoop",6,60,62.3,0.898,0.967,0.901
"REDISSON-1","randoop",6,60,67.9,0.104,0,0.034
"REDISSON-2","randoop",6,60,66.9,0.076,0,0
"REDISSON-3","randoop",6,60,64.1,0,0,0
"REDISSON-4","randoop",6,60,66.4,0.093,0,0.157
"REDISSON-5","randoop",6,60,66.7,0,0,0
"REDISSON-6","randoop",6,60,61.4,0,0,0
"REDISSON-7","randoop",6,60,1.3,0,0,0
"REDISSON-8","randoop",6,60,61.7,0.73,0.583,0.806
"REDISSON-9","randoop",6,60,62.4,0.808,0.454,0.583
"WEBMAGIC-1","randoop",6,60,1.3,0,0,0
"WEBMAGIC-2","randoop",6,60,1.3,0,0,0
"WEBMAGIC-3","randoop",6,60,61.9,0.872,0.541,0.638
"WEBMAGIC-4","randoop",6,60,62.5,0.746,0.166,0.655
"WEBMAGIC-5","randoop",6,60,61.9,0.833,0.883,0.802
"ZXING-10","randoop",6,60,63.7,0.38,0.316,0.255
"ZXING-1","randoop",6,60,64,0.087,0.033,0.026
"ZXING-2","randoop",6,60,61.8,0.003,0,0
"ZXING-3","randoop",6,60,61.5,0.625,0.474,0.243
"ZXING-4","randoop",6,60,1.3,0,0,0
"ZXING-5","randoop",6,60,67.3,0.109,0.075,0.011
"ZXING-6","randoop",6,60,61.5,0,0,0
"ZXING-7","randoop",6,60,64,0.541,0.486,0.454
"ZXING-8","randoop",6,60,61.8,0.051,0.033,0.019
"ZXING-9","randoop",6,60,63.8,0.777,0.632,0.468
"DUBBO-10","t3",6,60,39.5,0.15,0.214,0.252
"DUBBO-2","t3",6,60,3.5,0,0,0
"DUBBO-3","t3",6,60,21.3,0.96,0.951,0.909
"DUBBO-4","t3",6,60,10.9,0.683,0.666,0.555
"DUBBO-5","t3",6,60,27.2,0.969,0.944,0.888
"DUBBO-6","t3",6,60,7.9,0.043,0.028,0.023
"DUBBO-7","t3",6,60,18.7,1,0.979,0.99
"DUBBO-8","t3",6,60,54.9,0.886,0.803,0.738
"DUBBO-9","t3",6,60,55,0.792,0.702,0.708
"FASTJSON-10","t3",6,60,13.6,0.6,0.5,0.442
"FASTJSON-1","t3",6,60,58.6,0.1,0.089,0.024
"FASTJSON-2","t3",6,60,56.2,0.453,0.385,0.353
"FASTJSON-3","t3",6,60,65.3,0.106,0.078,0.054
"FASTJSON-4","t3",6,60,64.6,0,0,0
"FASTJSON-5","t3",6,60,64.5,0.033,0.019,0.045
